Drawing,Number,Annotation,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020509,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020510,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020511,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020512,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020513,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,151667-TSA-W2B-MVL3-DRG-C-CV-020514,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\H0.714286x;Drawing Title,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Existing General Arrangement,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Proposed General Arrangement,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Proposed Cross Sections,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Proposed Compound Layout,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Base and RC Details,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Temporary Generator Slab and RC Details,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Fencing General Arrangement,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Proposed Bollards and Car Parking Area Details,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Earthing and Bonding Details,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite ASP Compound Miscellaneous Details,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite DNO Compound Proposed General Arrangement Sheet 1 of 2,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite DNO Compound Proposed General Arrangement Sheet 2 of 2,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,W2B/W3 - LSC - Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\L\C5;151667-TSA-52-MVL3-SPE-W-CV-000001,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\L\C5;151667-TSA-52-MVL3-SPE-W-CV-020500,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020502,\L\C5;151667-TSA-52-MVL3-SPE-W-CV-000001,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Cross Sections,151667-TSA-W2B-MVL3-DRG-C-CV-020503,\C7;1. For general notes refer to drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Cross Sections,151667-TSA-W2B-MVL3-DRG-C-CV-020503,2. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,3. Insitu concrete footings to be compressive strength C25/30 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,4. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,5. Lighting column ducting to connect to to ASP cubicle.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,6. No drainage is required.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,7. The compound and access track is free draining. No black top surfacing is required.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Compound Layout,151667-TSA-W2B-MVL3-DRG-C-CV-020504,8. Live loading on compound pedestrian hardstanding areas assumed to be 5kPa,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Base and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020505,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Base and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020505,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Base and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020505,3. Insitu ASP foundation to be compressive strength C25/30 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Base and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020505,4. All exposed arises to foundation to have 25x25mm chamfer unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Base and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020505,5. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Base and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020505,\L\C5;151667-TSA-52-MVL3-SPE-W-CV-000001,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,3. Insitu temporary generator slab to be compressive strength C25/30 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,4. All exposed arises to foundation to have 25x25mm chamfer unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,5. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,6. The temporary generator slab has been designed to accommodate a 320kVA Aggreko Generator (1.5x4.64x2.57m) as agreed with E&P. Temporary generators assumed to be placed in the middle of the slab and are provided with their own bund product as required. Temporary generators are assumed to not be fixed to the concrete slab.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Temporary Generator Slab and RC Details,151667-TSA-W2B-MVL3-DRG-C-CV-020506,\L\C5;151667-TSA-52-MVL3-SPE-W-CV-000001,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,2. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,3. GRP palisade fence and gates (including fixings between posts, pales and rails) to be designed by specialist supplier.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP palisade fence and gates to be Holly Green (reference 14 C 39 in accordance with BS4800:2011).,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP palisade fence and gates arrangement based on a product by Scott Parnell. Contractor to consult designed if an alternative arrangement is required.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP palisade fence and gates to be security type SP30 and designed in accordance with BS1722-12:2006.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, GRP pales to comply with BS EN 13706, either E17 or E23.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, All connections shall be bolted in accordance with BS 1722-12.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507, Permissible range of post centres to be a minimum of 0.75m and a maximum 2.75 metres,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,4. No bonding required to fence and gates.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Fencing General Arrangement,151667-TSA-W2B-MVL3-DRG-C-CV-020507,5. No additional security requirements are required to be achieved for the ASP fencing/gates. No box outs are required around gate padlocks. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Bollards and Car Parking Area Details,151667-TSA-W2B-MVL3-DRG-C-CV-020508,\C250;\c0;1. For general notes refer to Drg. No. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Proposed Bollards and Car Parking Area Details,151667-TSA-W2B-MVL3-DRG-C-CV-020508,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Earthing and Bonding Details,151667-TSA-W2B-MVL3-DRG-C-CV-020509,\H1.38889x;\C7;1. For general notes refer to Drg. No.:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Earthing and Bonding Details,151667-TSA-W2B-MVL3-DRG-C-CV-020509,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,\C250;\c0;1. For general notes refer to Drg. No. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,3. Bollards to have smooth plain white concrete finish or beadalite finish if required.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,4. All highway construction works including bollards installation to be carried out in accordance with the Department of Transport 'Specification for Highway Works' including any supplement or as modified by the Local Authority.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,5. Compacted ground under concrete foundations to be well compacted prior to laying concrete. Any soft spots to be excavated out and backfilled with Class 1A fill well compacted in 150mm layers. Soft spots to be identified by hand shear vane where Cu is less than 40kPa in cohesive soil or a medium dense granular soil is observed at foundation level. Groundwater in excavations to be controlled by contractor.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,6. This drawing is to be read in conjunction with separate E+P submission.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,7. Lighting column shown on this drawing is based upon TTB060 6m raise mid-hinged lighting column (root mounted) by Abacus Lighting as specified by E+P.  ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,8. TTS 300 GRP Trough (Typ. 1000mm long, weight 21kg including lid) to be screw type TS300S. Troughing route to be water tight to mitigate water ingress. Troughs should be provided with a solid non slip GRP lid rated for pedestrian loading. Concrete edging to be provided to troughing route. Concrete edging detailed in Section C-C.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,9. TTS 300 GRP T-Junction Trough to be screw type TS300T. Troughing route to be water tight to mitigate water ingress. Tee junctions to accommodate a 288mm bending radius. Troughs should be provided with a solid non slip GRP lid rated for pedestrian loading. Concrete edging to suit tee junction profile to be provided, see typical detail in Section C-C.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,10. Troughs to be provided with secure locking system. Lids are to be lockable to deter cable theft. Lids are to be provided with tamper proof screw with special screw head drill bit key to release lids.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,11. TTS 300 GRP gradient Trough to be screw type TTS300U. Troughing to be water tight to mitigate water ingress. Concrete edging to suit trough profile to be provided, see Section C-C.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,12. All works to be undertaken in accordance with Network Rail Company Standard NR/L3/CIV/140 Issue 12 for specifying Civil Engineering Works and NR/L2/CIV/044 Issue 4.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,13. The chamber detailed on this drawing is to be read in conjunction with Network Rail Standard Detail Drawing NR/CIV/SD/610 Rev. F. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,14. The chamber is designed to accommodate a cable bending radius of 125mm.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,15. Earth pressures on turning chamber walls to be in accordance with NR/L3/CIV/071.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,16. Excavation works to be carried out in accordance with the Contractor's Temporary Works Design. A shored excavation is proposed. Temporary works design required as part of separate submission. Any soft spots encountered to be removed and replaced with Type 1 compacted fill.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,\C250;\c0;Notes Continued:,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,17. Material arising from excavations not suitable for spreading shall be taken off site to a suitably licensed tip. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,18. Bearing resistance at base of excavation is assumed to be a minimum of 50kPa.,,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,19. STAKKAbox Ultima access chamber by Cubis Systems is GRP and provides a clear opening of 450x450mm. Chamber ring weights 4.9kg, Cover weight 11.6kg and Frame weight 5.8kg.,,,,
W2B/W3 - Lineside Civils Slaithwaite ASP Compound Miscellaneous Details,151667-TSA-W2B-MVL3-DRG-C-CV-020510,20. Mortar to bed chamber lids to be resin based and have a minimum tensile strength of 5N/mm2 after three hours.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,\C7;1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,3. No new lighting required for proposed DNO area.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,4. No additional security requirements are required to be achieved for the DNO fencing.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,5. DNO cubicle lifting eyes to be removed on installation (and placed in the cubicle).,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,6. DNO as per E&P submission (refer to Drg. No. 151667-TSA-W3-MVL3-DRG-E-EP-000008 and\C256; Form B\C1; \C7;151667-TSA-52-MVL3-REP-W-EP-080064),,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,7. Permissible incoming bend radii of cables / ducts to be 450mm.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,8. Ducts to be provided with draw rope and duct ends to be formed smooth to prevent cable/sheath damage during pull. Draw ropes to be tied off.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,9. DNO cubicle is GRP and does not require bonding.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,10. DNO hardstanding in accordance with NR/CIV/SD/665 Rev. C,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020511,\pt0.0075;11. Protection of the existing assets to fall within the consideration of the Construction team.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,3. All insitu concrete to be compressive strength C25/30 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700),,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,4. DNO to be fixed to the base with 16No. M10x110 Hilti HIS-N 8.8 insert with Hilti HIT-HY 200 injection mortar or equivalent at fixing locations (in accordance with manufacturer instructions) provided in the DNO cabinet. Layout design for fixings undertaken using Drg. No. 151667-TSA-W3-MVL3-DRG-E-EP-000008 provided by E&P. The design assumes a 40mm wide x 5mm thk. baseplate to the DNO. The below requirements should be achieved for the fixings:,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512, Embedment depth = 110mm,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512, Nominal drill bit diameter = 18mm,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512, M10 Grade A4-70 stainless steel head bolts with isolating washers to be provided. All fixings to have oversized washers to ensure tight fit up.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,5. Live loading is assumed to be 5kPa for DNO hardstanding ,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,6. Precast concrete bollard as per 075481/CV/011 Rev. 01 from Infrastructure Access Points Best Practice Design Guide Standard Details,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,7. Precast concrete bollards do not require bonding (clearance to DNO greater than 2m),,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed General Arrangment Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020512,8. Precast concrete bollards to have a beadalite finish.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,\C250;\c0;1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,3. Palisade fencing to be installed to limit deflection in fence rails, the bottom horizontal rail shall be supported so that after tightening of the bolts, aligning and plumbing to the fence there is a slight upward camber. This support should be removed only once the concrete has set.,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,4. GRP palisade fence (including fixings between posts, pales and rails) to be designed by specialist supplier.,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513, GRP palisade fence to be Holly Green (reference 14 C 39 in accordance with BS4800:2011).,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513, GRP palisade fence arrangement based on a product by Scott Parnell. Contractor to consult designed if an alternative arrangement is required.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513, GRP palisade fence to be security type SP30 and designed in accordance with BS1722-12:2006. ,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513, GRP pales to comply with BS EN 13706, either E17 or E23,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513, All connections shall be bolted in accordance with BS 1722-12.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,5. No bonding required to fencing.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,6. Fences shall be accurately set out and erected to provide a smooth alignment in plan and elevation, following the contours of the ground as closely as is practicable.,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 1 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020513,7. The line of the fencing shall be cleared of all impending vegetation.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,\C250;\c0;1. For general notes refer to Drg. No.,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W2B/W3 - Lineside Civils Slaithwaite DNO Compound Proposed Fencing Details Sheet 2 of 2,151667-TSA-W2B-MVL3-DRG-C-CV-020514,3. Palisade fencing to be installed to limit deflection in fence rails, the bottom horizontal rail shall be supported so that after tightening of the bolts, aligning and plumbing to the fence there is a slight upward camber. This support should be removed only once the concrete has set.,,,
